no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277949530,828,9780198483274 ,Oxford Reading Tree: Level 7: More Stories B: The Riddle Stone Part Two (Paperback),Roderick Hunt,"THE STAGE 7 BIFF, CHIP AND KIPPER STORIES PROVIDE HUMOROUS STORYLINES TO ENGAGE AND MOTIVATE CHILDREN. THE POPULAR CHARACTERS AND FAMILIAR SETTINGS ARE BROUGHT TO LIFE BY RODERICK HUNT AND ALEX BRYCHTA. THE STORIES ARE UNCHANGED FROM THE PREVIOUS EDITION BUT THE COVER NOTES...",OxfordUniversityPress,2011,https://bookthumb-phinf.pstatic.net/cover/074/141/07414159.jpg?type=m1&udate=20171218,0,4,학문
277949531,828,9780590602761 ,Too many puppies,by Patience Brewster,"A LITTLE GIRL LOOKS FORWARD TO KEEPING ALL OF MILLY'S PUPPIES, BUT WHEN THEY BEGIN TO MAKE BIG DEMANDS ON HER, SHE CHANGES HER MIND ABOUT THEM.",Scholastic,1997,http://image.aladin.co.kr/product/88/81/cover/0590602764_1.jpg,0,4,아동
277949535,828,9781426305283 ,National Geographic Readers: Mummies (Paperback),Elizabeth Carney,Why were mummies mummified? These mysterious corpses provide a fascinating window on the past of cultures worldwide. Mummies has plenty of ghoulish intrigue to keep young readers reading. This irresistible title provides the solid science behind the myths and guarantees a...,NATIONALGEOGRAPHIC,2009,https://bookthumb-phinf.pstatic.net/cover/059/506/05950622.jpg?type=m1&udate=20171101,0,4,아동
277949540,828,9781426307102 ,National Geographic Readers: Bats (Paperback),Elizabeth Carney,"They live in spooky caves, in forests, even in the dark reaches of ordinary attics and bridges. They flock by the hundreds, and they sleep while hanging upside down! In this beautifully photographed Level 2 reader, kids learn about one of the most interesting creatures...",NATIONALGEOGRAPHICSOCIETY,2010,https://bookthumb-phinf.pstatic.net/cover/063/661/06366143.jpg?type=m1&udate=20141001,0,4,아동
277948250,556,9780198483359 ,Oxford Reading Tree: Level 8: Stories: a Day in London (Paperback),Hunt|Roderick,"The Stage 8 Biff, Chip and Kipper Stories, written by Roderick Hunt and illustrated by Alex Brychta, provide a rich story context to help develop language comprehension and decoding skills. Stories and More Stories continue to provide a mix of fantasy settings and familiar...",OxfordUniversityPress,2015,https://bookthumb-phinf.pstatic.net/cover/097/804/09780461.jpg?type=m1&udate=20160402,0,4,학문
277945407,564,9780375828393 ,Beans Baker's Best Shot  - Step into Reading 3 (Paperback),Torrey|R. A.,"When Beans hurts his leg in soccer practice right before the big championship game, his best friend Chester thinks it’s all his fault! Beans may not be able to play in the game, but he can still play an important role on the team when he cheers up - and cheers on - Chester.",RandomHouse,2004,https://bookthumb-phinf.pstatic.net/cover/025/176/02517647.jpg?type=m1&udate=20140801,0,4,아동
277945405,564,9780375823459 ,The Golden Compass                                                                                   (Paperback),필립 풀먼,"LIVING AMONG SCHOLARS IN THE HALLOWED HALLS OF JORDAN COLLEGE, LYRA HEARS RUMORS OF A MAGICAL DUST THAT SUPPOSEDLY POSSESSES POWERS THAT CAN UNITE WHOLE UNIVERSES, AND BEGINS A DANGEROUS  JOURNEY TO FIND IT.",Alfred A. Knopf,2002,http://image.aladin.co.kr/product/96/2/cover/037582345x_1.jpg,0,4,기타
277945392,564,9780312368784 ,The Man Who Walked Between the Towers (Paperback),모디캐이 저스타인 (지은이),"IN 1974, AS THE WORLD TRADE CENTER WAS BEING COMPLETED, A YOUNG FRENCH AERIALIST, PHILIPPE PETIT, THREW A TIGHTROPE BETWEEN THE TOWERS AND SPENT ALMOST AN HOUR WALKING, DANCING, AND PERFORMING TRICKS A QUARTER OF A MILE IN THE SKY.",Square Fish,2007,http://image.aladin.co.kr/product/98/97/cover/031236878x_2.jpg,0,4,아동
277945393,564,9780316002585 ,The Candymakers (Hardcover),Wendy Mass,"Four children have been chosen to compete in a national competition to find the tastiest confection in the country. Who will invent a candy more delicious than the Oozing Crunchorama or the Neon Lightning Chew?Logan, the Candymaker's son, who can detect the color...",LittleBrown&Co,2010,https://bookthumb-phinf.pstatic.net/cover/072/594/07259435.jpg?type=m1&udate=20150305,0,4,아동
277945394,564,9780316013697 ,The Absolutely True Diary of a Part-Time Indian (Paperback),Alexie|Sherman,"AWARDS:2007 NATIONAL BOOK AWARD WINNERTHE NEW YORK TIMES BOOK REVIEW NOTABLE BOOKS OF 2007 (CHILDREN'S BOOKS)NYPL BOOKS FOR THE TEEN AGE 20082007 PW OFF THE CUFF AWARDS: FAVORITE YA NOVEL, 2007 HORN BOOK FANFARE BEST BOOKS OF THE YEAR2007 KIRKUS REVIEWS BEST YA...",LittleBrown&Co,2008,https://bookthumb-phinf.pstatic.net/cover/047/826/04782680.jpg?type=m1&udate=20170801,0,4,청소년
